benchmark,script,system,nodes,persistence_mode,time
Analytics,1.sh,bash,30,,2730.072
Analytics,1.sh,ahs,30,,756.737
Analytics,1.sh,dish,30,,35.381
Analytics,1.sh,fractal,30,,29.772
Analytics,2.sh,bash,30,,2722.242
Analytics,2.sh,ahs,30,,767.041
Analytics,2.sh,dish,30,,36.322
Analytics,2.sh,fractal,30,,30.421
Analytics,3.sh,bash,30,,3317.987
Analytics,3.sh,ahs,30,,850.703
Analytics,3.sh,dish,30,,62.382
Analytics,3.sh,fractal,30,,55.52
Analytics,4.sh,bash,30,,1179.794
Analytics,4.sh,ahs,30,,724.473
Analytics,4.sh,dish,30,,26.605
Analytics,4.sh,fractal,30,,21.887
Analytics,temp-analytics.sh,bash,30,,722.562
Analytics,temp-analytics.sh,ahs,30,,499.31
Analytics,temp-analytics.sh,dish,30,,128.272
Analytics,temp-analytics.sh,fractal,30,,41.901
Analytics,1.sh,bash,30,,2717.693
Analytics,1.sh,ahs,30,,700.012
Analytics,1.sh,dish,30,,34.699
Analytics,1.sh,fractal,30,,25.199
Analytics,2.sh,bash,30,,2725.593
Analytics,2.sh,ahs,30,,775.31
Analytics,2.sh,dish,30,,34.786
Analytics,2.sh,fractal,30,,25.541
Analytics,3.sh,bash,30,,3329.563
Analytics,3.sh,ahs,30,,860.816
Analytics,3.sh,dish,30,,60.971
Analytics,3.sh,fractal,30,,50.44
Analytics,4.sh,bash,30,,1193.893
Analytics,4.sh,ahs,30,,742.675
Analytics,4.sh,dish,30,,29.807
Analytics,4.sh,fractal,30,,16.867
Analytics,temp-analytics.sh,bash,30,,721.634
Analytics,temp-analytics.sh,ahs,30,,505.314
Analytics,temp-analytics.sh,dish,30,,126.846
Analytics,temp-analytics.sh,fractal,30,,41.45
Analytics,1.sh,bash,30,,2719.136
Analytics,1.sh,ahs,30,,756.297
Analytics,1.sh,dish,30,,36.355
Analytics,1.sh,fractal,30,,29.521
Analytics,2.sh,bash,30,,2727.999
Analytics,2.sh,ahs,30,,731.2
Analytics,2.sh,dish,30,,36.639
Analytics,2.sh,fractal,30,,30.684
Analytics,3.sh,bash,30,,3327.126
Analytics,3.sh,ahs,30,,880.784
Analytics,3.sh,dish,30,,63.339
Analytics,3.sh,fractal,30,,54.923
Analytics,4.sh,bash,30,,1180.0
Analytics,4.sh,ahs,30,,741.264
Analytics,4.sh,dish,30,,26.459
Analytics,4.sh,fractal,30,,22.358
Analytics,temp-analytics.sh,bash,30,,721.055
Analytics,temp-analytics.sh,ahs,30,,504.389
Analytics,temp-analytics.sh,dish,30,,134.16
Analytics,temp-analytics.sh,fractal,30,,41.529
