benchmark,script,system,nodes,persistence_mode,time
Automation,compress_files.sh,fractal,4,,242.684
Automation,encrypt_files.sh,bash,4,,2627.249
Automation,encrypt_files.sh,dish,4,,659.46
Automation,encrypt_files.sh,fractal,4,,635.175
Automation,img_convert.sh,fractal-m,4,,1240.599
Automation,img_convert.sh,fractal-r,4,,1236.632
Automation,to_mp3.sh,fractal-m,4,,392.252
Automation,to_mp3.sh,fractal-r,4,,388.644
Automation,nginx.sh,fractal-m,4,,524.85
Automation,nginx.sh,fractal-r,4,,537.617
Automation,pcap.sh,fractal-m,4,,1269.482
Automation,pcap.sh,fractal-r,4,,1272.143
Automation,compress_files.sh,fractal-m,4,,255.954
Automation,compress_files.sh,fractal-r,4,,261.137
Automation,encrypt_files.sh,fractal-m,4,,755.559
Automation,encrypt_files.sh,fractal-r,4,,744.691
Automation,img_convert.sh,fractal-m,4,,1245.88
Automation,img_convert.sh,fractal-r,4,,1248.264
Automation,to_mp3.sh,fractal-m,4,,392.05
Automation,to_mp3.sh,fractal-r,4,,392.166
Automation,nginx.sh,fractal-m,4,,2499.209
Automation,nginx.sh,fractal-r,4,,2159.112
Automation,pcap.sh,fractal-m,4,,1284.596
Automation,pcap.sh,fractal-r,4,,1338.025
Automation,compress_files.sh,fractal-m,4,,251.328
Automation,compress_files.sh,fractal-r,4,,259.343
Automation,encrypt_files.sh,fractal-m,4,,799.302
Automation,encrypt_files.sh,fractal-r,4,,787.168
Automation,img_convert.sh,fractal-m,4,,1242.719
Automation,img_convert.sh,fractal-r,4,,1244.196
Automation,to_mp3.sh,fractal-m,4,,392.347
Automation,to_mp3.sh,fractal-r,4,,393.482
Automation,nginx.sh,fractal-m,4,,553.932
Automation,nginx.sh,fractal-r,4,,574.455
Automation,pcap.sh,fractal-m,4,,1272.419
Automation,pcap.sh,fractal-r,4,,1338.438
Automation,compress_files.sh,fractal-m,4,,284.057
Automation,compress_files.sh,fractal-r,4,,281.236
Automation,encrypt_files.sh,fractal-m,4,,761.269
Automation,encrypt_files.sh,fractal-r,4,,753.752
Classics,nfa-regex.sh,bash,4,,3010.618
Classics,nfa-regex.sh,ahs,4,,440.035
Classics,nfa-regex.sh,dish,4,,403.599
Classics,nfa-regex.sh,fractal,4,,399.087
Classics,sort.sh,bash,4,,267.659
Classics,sort.sh,ahs,4,,105.195
Classics,sort.sh,dish,4,,120.88
Classics,sort.sh,fractal,4,,97.712
Classics,top-n.sh,bash,4,,778.408
Classics,top-n.sh,ahs,4,,471.904
Classics,top-n.sh,dish,4,,238.428
Classics,top-n.sh,fractal,4,,223.381
Classics,wf.sh,bash,4,,776.436
Classics,wf.sh,ahs,4,,461.55
Classics,wf.sh,dish,4,,240.536
Classics,wf.sh,fractal,4,,229.268
Classics,spell.sh,bash,4,,738.171
Classics,spell.sh,ahs,4,,792.694
Classics,spell.sh,dish,4,,429.401
Classics,spell.sh,fractal,4,,441.071
Classics,diff.sh,bash,4,,96.216
Classics,diff.sh,ahs,4,,363.145
Classics,diff.sh,dish,4,,50.227
Classics,diff.sh,fractal,4,,55.546
Classics,bi-grams.sh,bash,4,,1220.468
Classics,bi-grams.sh,ahs,4,,638.992
Classics,bi-grams.sh,dish,4,,560.734
Classics,bi-grams.sh,fractal,4,,573.468
Classics,set-diff.sh,bash,4,,642.596
Classics,set-diff.sh,ahs,4,,331.444
Classics,set-diff.sh,dish,4,,183.072
Classics,set-diff.sh,fractal,4,,184.153
Classics,sort-sort.sh,bash,4,,358.481
Classics,sort-sort.sh,ahs,4,,305.122
Classics,sort-sort.sh,dish,4,,196.826
Classics,sort-sort.sh,fractal,4,,191.311
Classics,shortest-scripts.sh,bash,4,,275.898
Classics,shortest-scripts.sh,ahs,4,,165.99
Classics,shortest-scripts.sh,dish,4,,176.64
Classics,shortest-scripts.sh,fractal,4,,177.403
Classics,nfa-regex.sh,bash,4,,3013.029
Classics,nfa-regex.sh,ahs,4,,434.012
Classics,nfa-regex.sh,dish,4,,401.236
Classics,nfa-regex.sh,fractal,4,,398.903
Classics,sort.sh,bash,4,,254.251
Classics,sort.sh,ahs,4,,102.932
Classics,sort.sh,dish,4,,113.262
Classics,sort.sh,fractal,4,,102.208
Classics,top-n.sh,bash,4,,770.037
Classics,top-n.sh,ahs,4,,465.51
Classics,top-n.sh,dish,4,,234.521
Classics,top-n.sh,fractal,4,,224.369
Classics,wf.sh,bash,4,,769.634
Classics,wf.sh,ahs,4,,460.751
Classics,wf.sh,dish,4,,235.409
Classics,wf.sh,fractal,4,,229.366
Classics,spell.sh,bash,4,,730.517
Classics,spell.sh,ahs,4,,790.114
Classics,spell.sh,dish,4,,427.685
Classics,spell.sh,fractal,4,,449.814
Classics,diff.sh,bash,4,,94.84
Classics,diff.sh,ahs,4,,364.988
Classics,diff.sh,dish,4,,50.217
Classics,diff.sh,fractal,4,,55.167
Classics,bi-grams.sh,bash,4,,1220.878
Classics,bi-grams.sh,ahs,4,,640.702
Classics,bi-grams.sh,dish,4,,552.38
