# fault_soft dataset: per-script timings (fault runs)
run,benchmark,script,dish|4,dish|30,fractal|4,fractal|30,fractal-m|4,fractal-m|30,fractal-r|4,fractal-r|30
3,Unix50,24.sh,21.77,25.048,20.628,11.765,,,,
3,Unix50,25.sh,32.856,25.377,33.481,14.168,,,,
3,Unix50,26.sh,142.466,151.719,137.797,154.39,,,,
3,Unix50,28.sh,324.057,208.853,307.362,204.14,,,,
3,Unix50,29.sh,148.718,245.099,145.836,243.887,,,,
3,Unix50,3.sh,3.357,7.561,3.624,7.33,,,,
3,Unix50,30.sh,260.071,193.886,245.828,185.204,,,,
3,Unix50,31.sh,316.434,206.472,299.235,196.893,,,,
3,Unix50,32.sh,98.607,160.189,98.137,160.104,,,,
3,Unix50,33.sh,98.442,160.182,99.227,160.683,,,,
3,Unix50,34.sh,13.195,23.719,7.54,9.08,,,,
3,Unix50,35.sh,15.608,25.39,11.353,8.428,,,,
3,Unix50,36.sh,43.972,33.226,41.196,23.234,,,,
3,Unix50,4.sh,289.398,158.783,288.818,150.856,,,,
3,Unix50,5.sh,29.242,24.868,30.042,14.436,,,,
3,Unix50,6.sh,42.28,25.15,34.647,23.865,,,,
3,Unix50,7.sh,83.439,27.185,75.705,25.879,,,,
3,Unix50,11.sh,71.653,43.6,70.629,35.501,,,,
3,Unix50,10.sh,61.778,39.234,58.178,28.984,,,,
3,Unix50,1.sh,112.583,27.738,109.376,37.13,,,,
1,Unix50,1.sh,117.754,27.575,113.726,36.143,,,,
2,Unix50,24.sh,26.453,24.294,21.641,10.918,,,,
1,Unix50,33.sh,99.627,159.251,99.024,160.242,,,,
1,Unix50,32.sh,99.861,160.505,99.904,159.743,,,,
1,Unix50,31.sh,312.858,203.01,293.804,195.235,,,,
1,Unix50,30.sh,255.458,196.673,240.403,186.822,,,,
1,Unix50,3.sh,3.162,7.093,3.303,7.326,,,,
1,Unix50,29.sh,145.712,241.721,146.006,243.826,,,,
1,Unix50,28.sh,319.219,209.358,312.95,203.887,,,,
1,Unix50,26.sh,142.2,157.037,137.221,152.956,,,,
1,Unix50,25.sh,43.739,25.281,33.715,13.931,,,,
1,Unix50,24.sh,26.371,24.583,20.643,10.879,,,,
1,Unix50,23.sh,143.958,40.267,143.678,36.783,,,,
1,Unix50,21.sh,959.272,568.966,977.963,555.303,,,,
1,Unix50,20.sh,10.71,23.59,8.34,8.765,,,,
1,Unix50,36.sh,42.018,34.165,40.2,23.388,,,,
1,Unix50,2.sh,348.627,167.001,352.774,155.62,,,,
1,Unix50,19.sh,30.655,24.842,16.002,11.06,,,,
1,Unix50,18.sh,16.987,24.61,12.283,8.266,,,,
1,Unix50,17.sh,101.241,69.594,95.701,64.001,,,,
1,Unix50,16.sh,158.026,94.866,145.333,94.127,,,,
1,Unix50,15.sh,28.005,25.082,24.403,12.657,,,,
1,Unix50,14.sh,836.872,773.849,860.332,773.012,,,,
1,Unix50,13.sh,77.682,24.901,65.019,22.913,,,,
1,Unix50,12.sh,252.54,136.021,251.034,129.931,,,,
1,Unix50,11.sh,73.68,45.667,68.372,35.769,,,,
1,Unix50,10.sh,62.033,39.068,56.825,29.14,,,,
2,Unix50,25.sh,41.587,24.556,33.597,14.287,,,,
3,Analytics,4.sh,111.868,26.459,106.595,22.358,141.202,48.168,124.038,29.422
3,Analytics,3.sh,282.266,63.339,285.633,54.923,373.792,97.42,331.886,52.957
