,,,,time - 4 node,,,,time - 30 node,,,,speedup - 4 node,,,speedup - 4 30 node,,
size,run,benchmark,script,bash|4|t,ahs|4|t,dish|4|t,fractal|4|t,bash|30|t,ahs|30|t,dish|30|t,fractal|30|t,ahs|4|s,dish|4|s,fractal|4|s,ahs|30|s,dish|30|s,fractal|30|s
10 G,1,Unix50,21.sh,2598.546,2367.562,959.272,977.963,3008.564,4753.583,568.966,555.303,1.097561965,2.708872979,2.657100524,0.6329044849,5.287774665,5.417878167
10 G,1,Unix50,23.sh,703.074,278.694,143.958,143.678,738.94,108.427,40.267,36.783,2.522745377,4.883882799,4.893400521,6.815092182,18.35100703,20.08917163
10 G,1,Unix50,24.sh,97.568,123.018,26.371,20.643,42.24,76.822,24.583,10.879,0.7931197061,3.699821774,4.7264448,0.549842493,1.718260587,3.882709808
10 G,1,Unix50,25.sh,96.701,129.644,43.739,33.715,45.604,78.968,25.281,13.931,0.7458964549,2.210864446,2.868189233,0.5774997467,1.80388434,3.273562558
10 G,1,Unix50,26.sh,103.139,138.811,142.2,137.221,94.348,77.109,157.037,152.956,0.7430174842,0.7253094233,0.7516269376,1.223566639,0.6008010851,0.6168309841
10 G,1,Unix50,28.sh,547.388,214.268,319.219,312.95,605.754,90.025,209.358,203.887,2.554688521,1.714772617,1.749122863,6.728730908,2.893388359,2.971028069
10 G,1,Unix50,29.sh,97.419,139.792,145.712,146.006,64.496,76.863,241.721,243.826,0.6968853726,0.6685722521,0.6672260044,0.8391033397,0.2668200115,0.2645164995
10 G,1,Unix50,30.sh,718.517,215.25,255.458,240.403,828.756,89.7,196.673,186.822,3.338058072,2.812661964,2.988802136,9.239197324,4.213877858,4.436072839
10 G,1,Unix50,31.sh,730.814,219.586,312.858,293.804,851.444,90.032,203.01,195.235,3.328144782,2.33592876,2.487420185,9.457126355,4.194098813,4.361123774
10 G,1,Unix50,32.sh,96.271,125.068,99.861,99.904,35.966,76.031,160.505,159.743,0.7697492564,0.9640500295,0.9636350897,0.47304389,0.2240802467,0.2251491458
10 G,1,Unix50,33.sh,96.02,124.354,99.627,99.024,36.641,74.101,159.251,160.242,0.7721504736,0.9637949552,0.9696639199,0.4944737588,0.2300833276,0.2286604011
10 G,1,Unix50,34.sh,3.334,119.335,7.175,7.072,2.634,76.739,24.18,9.022,0.02793815729,0.4646689895,0.4714366516,0.03432413766,0.1089330025,0.2919530038
10 G,1,Unix50,35.sh,96.091,115.831,13.005,10.661,30.715,72.897,25.794,8.239,0.8295793009,7.388773549,9.013319576,0.4213479293,1.190780802,3.728000971
10 G,1,Unix50,36.sh,112.311,186.421,42.018,40.2,172.879,147.2,34.165,23.388,0.6024589504,2.672925889,2.79380597,1.174449728,5.060120006,7.39178211
