,,,,time - 4 node,,,,time - 30 node,,,,speedup - 4 node,,,speedup - 4 30 node,,
size,run,benchmark,script,bash|4|t,ahs|4|t,dish|4|t,fractal|4|t,bash|30|t,ahs|30|t,dish|30|t,fractal|30|t,ahs|4|s,dish|4|s,fractal|4|s,ahs|30|s,dish|30|s,fractal|30|s
1 G,3,Classics,diff.sh,94.386,374.195,52.272,56.087,112.025,338.831,41.156,41.957,0.2522374698,1.80567034,1.682849858,0.3306220505,2.721960346,2.669995472
3 G,3,Classics,bi-grams.sh,1224.587,642.873,579.476,572.475,2160.117,1108.087,328.792,324.589,1.904866124,2.113266123,2.139110005,1.949411012,6.569858756,6.654929773
3 G,3,Classics,set-diff.sh,644.288,335.671,183.201,186.081,829.739,342.843,124.864,120.989,1.919403225,3.516836698,3.462406156,2.420171915,6.645141914,6.857970559
3 G,3,Classics,sort-sort.sh,359.617,298.821,206.757,188.377,436.516,346.607,132.405,133.968,1.203452903,1.739322006,1.909028172,1.259397531,3.296824138,3.258360205
28.3 M,3,Classics,shortest-scripts.sh,269.408,165.635,171.024,175.653,328.909,344.951,73.318,73.209,1.626516135,1.57526429,1.533751203,0.9534948442,4.486060722,4.492739964
10 G,3,Unix50,1.sh,96.45,240.592,112.583,109.376,60.588,86.22,27.738,37.13,0.4008861475,0.8567012782,0.8818205091,0.7027139875,2.184295912,1.631780232
10 G,3,Unix50,2.sh,791.312,820.186,357.868,347.033,1253.123,776.096,167.547,156.062,0.9647957902,2.211184012,2.280221189,1.614649476,7.479232693,8.029648473
10 G,3,Unix50,3.sh,2.315,271.906,3.357,3.624,2.43,91.59,7.561,7.33,0.00851397174,0.6896038129,0.6387969095,0.02653128071,0.32138606,0.3315143247
10 G,3,Unix50,4.sh,734.601,707.393,289.398,288.818,1172.237,847.141,158.783,150.856,1.038462354,2.538376215,2.543473745,1.383756659,7.382635421,7.770569285
10 G,3,Unix50,5.sh,96.12,139.337,29.242,30.042,42.681,77.093,24.868,14.436,0.6898383057,3.287052869,3.199520671,0.5536300313,1.716302075,2.956566916
10 G,3,Unix50,6.sh,96.095,131.388,42.28,34.647,53.819,79.034,25.15,23.865,0.7313833836,2.27282403,2.773544607,0.6809600931,2.139920477,2.255143516
10 G,3,Unix50,7.sh,96.297,125.89,83.439,75.705,107.547,74.873,27.185,25.879,0.7649297005,1.1541006,1.27200317,1.436392291,3.956115505,4.15576336
10 G,3,Unix50,8.sh,96.19,119.812,30.302,30.477,44.769,76.138,25.214,12.686,0.8028411178,3.174377929,3.15615054,0.5879981087,1.775561196,3.529008356
10 G,3,Unix50,9.sh,96.182,122.409,22.653,19.15,48.185,73.969,26.015,9.598,0.7857428784,4.245883547,5.022558747,0.6514215415,1.852200653,5.020316733
10 G,3,Unix50,10.sh,137.008,228.803,61.778,58.178,207.767,219.3,39.234,28.984,0.5988033374,2.217747418,2.354979546,0.9474099407,5.295585462,7.168334253
10 G,3,Unix50,11.sh,147.806,253.629,71.653,70.629,254.155,246.307,43.6,35.501,0.5827645892,2.062802674,2.092709793,1.031862675,5.829243119,7.15909411
10 G,3,Unix50,12.sh,684.318,820.971,248.766,255.135,1071.007,1314.407,134.33,128.907,0.8335471046,2.750850197,2.682180022,0.8148214366,7.972954664,8.3083696
10 G,3,Unix50,13.sh,97.165,184.31,73.748,65.861,44.985,83.973,24.994,22.482,0.5271824643,1.317527255,1.475304049,0.5357079061,1.79983196,2.000934081
10 G,3,Unix50,14.sh,1014.505,1711.556,850.087,860.44,1488.038,4361.274,760.859,766.905,0.5927384205,1.193413145,1.17905374,0.3411934219,1.955734242,1.940315945
10 G,3,Unix50,15.sh,97.1,130.308,29.058,26.284,43.416,77.139,25.038,11.831,0.7451576265,3.341592677,3.694262669,0.5628281414,1.734004313,3.669681346
10 G,3,Unix50,16.sh,413.379,305.897,161.285,146.785,741.111,359.864,95.099,91.142,1.351366636,2.56303438,2.816221004,2.05941967,7.793047246,8.131388383
10 G,3,Unix50,17.sh,242.028,304.166,103.974,94.856,395.185,298.528,67.967,64.942,0.7957102372,2.327774251,2.551530741,1.323778674,5.814365795,6.085199101
10 G,3,Unix50,18.sh,93.086,115.948,14.769,11.134,30.635,72.937,24.264,8.236,0.8028254045,6.302796398,8.360517334,0.4200200173,1.262570063,3.719645459
10 G,3,Unix50,19.sh,93.401,113.21,19.647,16.825,29.905,71.988,23.931,11.187,0.8250242911,4.753957347,5.551322437,0.4154164583,1.249634365,2.673192098
10 G,3,Unix50,20.sh,2.395,118.327,15.434,7.617,2.623,74.142,23.042,8.63,0.02024051992,0.1551768822,0.3144282526,0.03537805832,0.1138356045,0.3039397451
10 G,3,Unix50,21.sh,2627.252,2362.79,964.791,983.182,3019.124,4790.583,569.743,555.413,1.111927848,2.723130709,2.672192941,0.6302205807,5.299098014,5.435818031
10 G,3,Unix50,23.sh,710.227,278.606,146.033,144.619,723.702,106.634,40.917,36.667,2.549216456,4.863469216,4.911021373,6.786784703,17.68707383,19.73714784
10 G,3,Unix50,24.sh,96.718,129.262,21.77,20.628,42.814,77.95,25.048,11.765,0.7482322724,4.442719339,4.688675587,0.5492495189,1.709278186,3.639099023
10 G,3,Unix50,25.sh,96.245,131.522,32.856,33.481,45.287,78.884,25.377,14.168,0.7317787138,2.929297541,2.874615454,0.5740961412,1.784568704,3.196428571
10 G,3,Unix50,26.sh,100.421,141.323,142.466,137.797,90.053,79.234,151.719,154.39,0.710577896,0.7048769531,0.7287604229,1.136544918,0.5935512362,0.583282596
10 G,3,Unix50,28.sh,556.944,211.381,324.057,307.362,607.519,88.042,208.853,204.14,2.634787422,1.718660606,1.812013196,6.90033166,2.908835401,2.975991966
10 G,3,Unix50,29.sh,96.228,142.071,148.718,145.836,66.003,76.139,245.099,243.887,0.6773233102,0.6470501217,0.6598370773,0.8668750575,0.2692911844,0.2706294308
10 G,3,Unix50,30.sh,715.113,212.096,260.071,245.828,839.483,90.127,193.886,185.204,3.371647744,2.74968374,2.908997348,9.314445172,4.32977626,4.532747673
10 G,3,Unix50,31.sh,722.214,221.211,316.434,299.235,863.505,91.067,206.472,196.893,3.264819561,2.282352718,2.413534513,9.482084619,4.182189353,4.385656169
10 G,3,Unix50,32.sh,96.398,123.745,98.607,98.137,36.837,75.838,160.189,160.104,0.7790052123,0.9775979393,0.9822798741,0.4857327461,0.2299596102,0.2300816969
10 G,3,Unix50,33.sh,96.096,115.293,98.442,99.227,36.67,74.252,160.182,160.683,0.8334937941,0.9761687085,0.9684460883,0.4938587513,0.2289270954,0.2282133144
10 G,3,Unix50,34.sh,2.351,118.291,13.195,7.54,2.69,76.829,23.719,9.08,0.01987471574,0.1781735506,0.3118037135,0.03501282068,0.1134111893,0.2962555066
10 G,3,Unix50,35.sh,95.886,114.564,15.608,11.353,30.122,73.931,25.39,8.428,0.8369644915,6.143388006,8.445873337,0.4074339587,1.186372588,3.574038918
10 G,3,Unix50,36.sh,111.436,183.588,43.972,41.196,174.898,154.792,33.226,23.234,0.6069895636,2.534249068,2.705019905,1.129890434,5.263889725,7.527674959
100 books,3,NLP,1syllable_words;6_4,243.577,,22.756,23.457,286.956,,52.078,49.726,,10.70385832,10.3839792,,5.510119436,5.770743675
100 books,3,NLP,2syllable_words;6_5,241.32,,21.946,22.778,276.312,,52.376,51.145,,10.99608129,10.59443323,,5.275546052,5.402522241
100 books,3,NLP,4letter_words;6_2,487.288,,34.298,35.947,572.263,,79.975,76.626,,14.20747565,13.55573483,,7.155523601,7.468261426
100 books,3,NLP,bigrams_appear_twice;8.2_2,262.065,,17.006,17.705,307.795,,43.562,41.003,,15.41014936,14.80175092,,7.065676507,7.506645855
100 books,3,NLP,bigrams;4_3,260.577,,23.761,24.371,307.382,,50.256,49.638,,10.9665839,10.69209306,,6.116324419,6.192473508
100 books,3,NLP,compare_exodus_genesis;8.3_3,486.175,,73.689,74.041,566.807,,51.313,48.621,,6.597660438,6.56629435,,11.0460702,11.65765821
100 books,3,NLP,count_consonant_seq;7_2,246.232,,21.593,21.791,287.321,,49.481,47.358,,11.40332515,11.29971089,,5.806693478,6.067000296
100 books,3,NLP,count_morphs;7_1,238.182,,19.736,20.421,267.294,,50.417,47.38,,12.06840292,11.66358161,,5.301664121,5.641494301
100 books,3,NLP,count_trigrams;4_3b,261.552,,17.125,17.594,308.111,,43.575,40.871,,15.27310949,14.86597704,,7.070820425,7.538621516
100 books,3,NLP,count_vowel_seq;2_2,236.668,,21.824,20.332,266.01,,49.15,45.071,,10.8443915,11.64017313,,5.412207528,5.902021255
100 books,3,NLP,count_words;1_1,250.036,,23.07,22.175,299.518,,50.028,47.99,,10.83814478,11.27558061,,5.987007276,6.241258596
100 books,3,NLP,find_anagrams;8.3_2,252.753,,16.715,17.013,306.088,,43.286,40.556,,15.12132815,14.8564627,,7.071293259,7.547292632
100 books,3,NLP,merge_upper;2_1,247.707,,22.767,23.41,292.94,,51.164,49.974,,10.8800896,10.58124733,,5.725510124,5.861848161
100 books,3,NLP,sort;3_1,250.64,,28.071,28.921,304.255,,58.444,56.902,,8.928787717,8.666367,,5.205923619,5.347000105
100 books,3,NLP,sort_words_by_folding;3_2,251.852,,28.528,28.952,304.471,,58.18,56.565,,8.828238923,8.698949986,,5.233258852,5.382674799
100 books,3,NLP,sort_words_by_num_of_syllables;8_1,251.214,,21.548,22.533,300.763,,51.128,48.557,,11.65834416,11.14871522,,5.882549679,6.1940194
100 books,3,NLP,sort_words_by_rhyming;3_3,252.499,,37.758,38.674,304.312,,69.812,70.785,,6.687298056,6.52890831,,4.359021372,4.299102917
100 books,3,NLP,uppercase_by_token;6_1_1,240.503,,16.126,16.646,273.988,,43.339,40.616,,14.91398983,14.44809564,,6.32197328,6.745814457
100 books,3,NLP,uppercase_by_type;6_1_2,249.716,,21.325,22.007,296.833,,51.005,48.237,,11.71001172,11.34711683,,5.819684345,6.153637249
100 books,3,NLP,verses_2om_3om_2instances;6_7,702.494,,167.403,168.072,787.567,,90.049,90.506,,4.196424198,4.179720596,,8.745982743,8.701820874
100 books,3,NLP,vowel_sequencies_gr_1K;8.2_1,245.899,,23.317,23.952,293.62,,51.371,49.429,,10.54591071,10.26632432,,5.71567616,5.940237512
100 books,3,NLP,words_no_vowels;6_3,240.976,,22.217,22.577,274.514,,51.701,49.132,,10.84646892,10.6735173,,5.309645848,5.587275096
33.4 G,3,Analytics,1.sh,1684.331,704.721,209.561,213.786,2719.136,756.297,36.355,29.521,2.390067842,8.037425857,7.878584192,3.59532829,74.79400358,92.10853291
33.4 G,3,Analytics,2.sh,1679.187,680.871,211.124,211.774,2727.999,731.2,36.639,30.684,2.466233692,7.953558099,7.929146165,3.730852024,74.45615328,88.90623778
33.4 G,3,Analytics,3.sh,2059.619,795.603,282.266,285.633,3327.126,880.784,63.339,54.923,2.588752179,7.296730743,7.210717949,3.777459627,52.52886847,60.57800921
33.4 G,3,Analytics,4.sh,531.403,662.093,111.868,106.595,1180,741.264,26.459,22.358,0.8026108115,4.750268173,4.985252592,1.591875499,44.59730149,52.7775293
33.7 G,3,Analytics,temp-analytics.sh,1023.907,1279.537,243.049,224.567,721.055,504.389,134.16,41.529,0.8002167972,4.212759567,4.559472229,1.429561311,5.374590042,17.36268632
2.1 G,3,Automation,img_convert.sh,4168.376,,1006.524,993.571,4675.553,,391.475,414.553,,4.141357782,4.195347892,,11.94342678,11.27854098
2.1 G,3,Automation,to_mp3.sh,1455.476,,315.107,314.05,1698.906,,125.774,131.75,,4.61898974,4.634535902,,13.50760889,12.8949222
30.0 G,3,Automation,nginx.sh,2138.68,,485.632,464.586,1526.728,,523.945,484.219,,4.40391078,4.603410348,,2.913908903,3.15297004
19.1 G,3,Automation,pcap.sh,5817.341,,1334.653,1280.241,6816.585,,363.407,364.633,,4.358691735,4.543942117,,18.75744001,18.69437215
19.1 G,3,Automation,compress_files.sh,3165.135,,237.993,242.684,3588.357,,386.94,340.51,,13.29927771,13.04220715,,9.27367809,10.5381839
19.1 G,3,Automation,encrypt_files.sh,2627.249,,659.46,635.175,2813.326,,256.69,273.572,,3.98393989,4.136260086,,10.96001402,10.28367669
